id,title,link,content,gold_label,news_channel
0,کبھی میں کبھی تم‘ کا محبت بھرا اختتام، شرجینا اور مصطفیٰ ایک ہوگئے’,https://www.express.pk/story/2731764/kbhi-main-kbhi-tm-ka-muhabbat-bhara-ikhtitam-sharjina-or-mustufa-aik-hogaye,کبھی میں کبھی تم کی آخری قسط میں شرجینا اور مصطفیٰ نے مداحوں کی خواہش کو پورا کردیا۔ مقبول ترین پاکستانی ڈرامہ ’کبھی میں کبھی تم‘ کے خوبصورت اختتام کو شائقین نے کی جانب سے بے حد پسند کیا گیا ہے۔ انہیں شرجینا اور مصطفیٰ کے درمیان جذباتی گفتگو بہت پسند آئی، جس کے دوران انہوں نے تمام غلط فہمیوں، کمیونیکیشن گیپس اور انا کے مسائل کو دور کیا اور ڈرامے کے اختتام میں ایک ہوگئے۔ مداحوں کے مطابق یہ ررواں سال کا سب سے بہترین  ڈرامہ ہے جس میں حقیقی زندگی اور سادہ کہانی دکھائی گئی ہے۔ مداحوں کی جانب سے پوری کاسٹ سے محبت کا اظہار کیا جارہا ہے، بہت سے لوگ شرجینا اور مصطفیٰ کو بہترین اختتام دینے پر ان کا شکریہ بھی ادا کر رہے ہیں کیوںکہ وہ ایسی ہی ’ہیپی اینڈنگ‘ دیکھنا چاہتے تھے۔ شائقین نے کاسٹ بالخصوص فہد مصطفیٰ اور ہانیہ عامر کی شاندار اداکاری کو سراہا جنہوں نے شرجینا اور مصطفیٰ کی بہترین تصویر کشی کی اور مداحوں کو اپنی محبت کی کہانی پر یقین دلایا۔ فہد مصطفیٰ کے مداحوں نے انہیں ٹی وی پر سالوں بعد اپنی کامیاب واپسی پر مبارکباد دی۔ جبکہ پاکستان سمیت پڑوسی ملک بھارت، بنگلادیش سے مداحوں نے اپنے پسندیدہ ٹیلی ویژن شو کے ختم ہونے پر دکھ کا اظہار کیا اور اس کے دوسرے حصے کی ڈیمانڈ بھی کردی۔,entertainment,Express News
1,پاکستانی اداکار احسن خان کی کرس گیل کے ساتھ ڈانس کی ویڈیو وائرل,https://www.express.pk/story/2731730/ahsan-khan-and-chris-gayle-dance-viral-video,پاکستانی اداکار احسن خان کی ویسٹ انڈیز کے سابق کرکٹر کرس گیل کے ساتھ ڈانس کی ویڈیو وائرل ہوگئی۔ اداکار احسن خان کی ویسٹ انڈیز کے سابق مایہ ناز آل راؤنڈر کرس گیل سے دبئی میں ملاقات ہوئی۔ پاکستانی اداکار اور ویسٹ انڈیز کی سکسر مشین کرس گیل ایک دوسرے میں گھل مل گئے۔ پاکستانی اداکار احسن خان اور ماضی کے جارح مزاج کرکٹر کرس گیل نے اکٹھے ڈنر بھی کیا۔,entertainment,Express News
2,اداکارہ لائبہ خان نے عمرے کی سعادت حاصل کرلی,https://www.express.pk/story/2731719/pakistani-actress-laiba-khan-perform-umrah-with-family,پاکستانی اداکارہ لائبہ خان نے اپنی فیملی کے ہمراہ عمرے کی سعادت حاصل کرلی۔ لائبہ خان نے عمرہ ادائیگی اور مقدس مقامات کی زیارت کی تصاویر سوشل میڈیا پر شیئر کیں جس میں اُن کے ساتھ بہن ایمان خان اور والدین موجود ہیں۔ لائبہ خان نے اپنے اہل خانہ کے ہمراہ مختلف تصاویر شیئر کیں، جن میں سے ایک میں وہ فلسطین کی ثقافت کی ترجمانی کرنے والا رومال کفیہ کاندھوں پر ڈالی خانہ کعبہ کے آگے کھڑی ہیں۔ اس کے علاوہ انہوں نے اپنے والدین کے ساتھ مسجد نبوی ﷺ سمیت مختلف مقامات پر بنائی گئی تصاویر بھی شیئر کیں۔ اداکارہ کو عمرے کی سعادت حاصل کرنے پر مداحوں نے مبارک باد دی اور دعاؤں میں یاد رکھنے کی اپیل بھی کی۔,entertainment,Express News
3,ویرات کوہلی کی 36 ویں سالگرہ پر انوشکا نے ’اکے‘ کی پہلی جھلک شیئر کردی,https://www.express.pk/story/2731713/anushka-sharma-shares-son-akaays-first-photo-on-virat-kohlis-birthday,انوشکا شرما نے اپنے شوہر ویرات کوہلی کی 36 ویں سالگرہ پر بیٹے ’اکے‘ کی پہلی تصویر شیئر کردی۔ بھارتی اداکارہ کی جانب سے انسٹاگرام پر شیئر کی گئی تصویر میں ویرات کوہلی اپنے دونوں بچوں کو پکڑے ہوئے نظر آرہے ہیں۔ ان کی تین سالہ بیٹی وامیکا اپنے والد کے بائیں ہاتھ میں جھول رہی ہے جبکہ بیٹے کو انہوں نے بیلٹ کے ذریعے سینے پر باندھ رکھا ہے۔ انوشکا شرما نے تصویر میں اپنے دونوں بچوں کے چہروں کو دل والے ایموجیز سے چھپادیا ہے۔ A post shared by AnushkaSharma1588 (@anushkasharma) قابل ذکر بات یہ ہے کہ انوشکا نے اپنی پوسٹ میں سالگرہ کا لمبا نوٹ لکھنے کے بجائے اپنے جیون ساتھی کیلئے محبت کا اظہار کرتے ہوئے دل اور بری نظر سے بچنے کے ایموجیز کا انتخاب کیا۔ اطلاعات کے مطابق انوشکا اور ویرات پرسکون زندگی گزارنے اور پرائیویسی کے لیے خاندان سمیت لندن منتقل ہوگئے ہیں۔ یاد رہے کہ انوشکا اور ویرات کے ہاں 15 فروری 2024 کو بیٹے ’اکے‘ کی پیدائش ہوئی تھی جبکہ 2021 میں دونوں نے بیٹی وامیکا کو خوش آمدید کہا تھا، جوڑے کی شادی 17 دسمبر 2017 کو ہوئی تھی۔,entertainment,Express News
4,شاہ رخ خان نے 95 دن سے گھر کے باہر بیٹھے مداح کو ملنے بلالیا,https://www.express.pk/story/2731697/shah-rukh-khan-meets-jharkhand-man-who-waited-95-days-outside-mannat,بالی ووڈ اسٹار شاہ رخ خان نے 95 دن سے گھر کے باہر بیٹھے مداح کو ملاقات کیلئے بلالیا۔ بھارتی میڈیا کے مطابق جنونی مداح بالی ووڈ کنگ سے ملاقات کیلئے جھارکھنڈ میں اپنا کمپیوٹر سینٹر بند کرکے ممبئی پہنچا اور گھر کے باہر ہی ڈیرے ڈال کر بیٹھ گیا۔ سوشل میڈیا پلیٹ فارم ایکس ( سابقہ ٹوئٹر) پر شاہ رخ خان فین پیج نے بالی ووڈ اسٹار کی اپنے مداح سے ملاقات کی تصویر شیئر کی ہے۔ سوشل میڈیا پوسٹ کے مطابق شاہ رخ خان سے ملاقات کے خواہشمند مداح نے بالی ووڈ کنگ سے ملاقات کیلئے منت کے باہر 95 دن تک انتظار کیا۔ یاد رہے کہ گزشتہ ہفتہ بالی ووڈ اسٹار نے اپنی 59 ویں سالگرہ منائی تھی، اس موقع پر ممبئی میں انکی رہائش گاہ منت کے باہر مداحوں کی بڑی تعداد شاہ رخ خان کی ایک جھلک دیکھنے اور سالگرہ کی مبارکباد دینے پہنچی۔ کسی بھی ناخوشگوار صورتحال سے نمٹنے کیلئے شاہ رخ خان کے گھر کے باہر پولیس کی نفری بھی تعینات رہی۔,entertainment,Express News
5,ریشم کا تشدد کی شکار اداکارہ نرگس کے حوالے سے انکشاف,https://www.express.pk/story/2731693/resham-raise-voice-for-nargis,پاکستان کی معروف اداکارہ ریشم نے شوہر کے تشدد کا شکار ہونے والی اپنی ساتھی فنکارہ نرگس کے حق میں آواز بلند کرتے ہوئے بڑا انکشاف کیا ہے۔ ریشم نے نرگس کے شوہر کی جانب سے تشدد پر خاموشی توڑتے ہوئے بتایا کہ میری نرگس سے ملاقات ہوئی، جو تصاویر سامنے آئیں وہ کچھ بھی نہیں کیونکہ حقیقت اس کے برعکس ہے۔ ریشم نے کہا کہ نرگس کو شوہر نے بدترین تشدد کا نشانہ بنایا ہے جس کی وجہ سے وہ بہت زیادہ زخمی ہوئیں جبکہ نرگس نے اپنے شوہر کی خاطر انڈسٹری اور تمام چیزیں چھوڑ دی تھیں۔ انہوں نے کہا کہ نرگس نے اپنے شوہر کی خاطر حجاب لینا شروع کردیا تھا اور وہ اپنے خاوند کی ملازمہ بن کر رہ رہی تھیں، میں نے انہیں کبھی اپنے شوہر سے اونچی آواز میں بات کرتے ہوئے بھی نہیں دیکھا۔ A post shared by therealresham (@therealresham) ریشم نے لکھا کہ اس کے باوجود بھی نرگس کو اُن کے شوہر نے پستول کے بٹ سے تشدد کا نشانہ بنایا، میں یہ سب دیکھ کر بہت زیادہ پریشان ہوں اور نرگس کی تصاویر دیکھ کر رونا بھی آیا۔ اداکارہ نے لکھا کہ نرگس کے ساتھ جو ہوا یہ ہر اُس خاتون کے ساتھ ہوتا ہے جو اپنا گھر بچانے کی کوشش کرتی ہے مگر پھر اُن کے شوہر درندے بن جاتے ہیں اور میں ایسے لوگوں کو انسان نہیں سجھتی کیونکہ اچھا انسان کبھی بھی اس طرح کی حرکتیں نہیں کرتا۔,entertainment,Express News
6,ہانیہ عامر ماہرہ خان کا اسٹائل کاپی کر رہی ہیں؟ سوشل میڈیا پر نئی بحث چھڑگئی,https://www.express.pk/story/2731675/ani-aaamr-mar-khan-ka-asael-kapi-kr-ri-i-soshl-miia-pr-nei-bhth-chgei,ڈب اسمیش سے ٹاک ٹاک اور پھر پاکستان شوبز انڈسٹری کا سفر طے کرنے والی اداکارہ ہانیہ عامر کے ان دنوں خوب چرچے ہیں جس کی وجہ ان کا حال ہی میں ختم ہونے والا ڈرامہ ’کبھی میں کبھی تم‘ ہے۔ ہانیہ اس ڈرامے میں فہد مصطفیٰ کے ساتھ مرکزی کردار ادا کرتی نظر آئیں جبکہ ان دونوں ورسٹائل اداکاروں کی جوڑی کو خوب پذیرائی ملی۔ کبھی میں کبھی تم نے اس قدر شہرت پائی کے اسکی آخری قسط کو سنیما میں ریلیز کرنے کا اعلان کیا گیا جو آج 5 نومبر کو ملک بھر میں ہاؤس فل چل رہا ہے اور اس کے تمام ٹکٹس ایڈوانس بک ہوچکے ہیں۔ ہانیہ اس ڈرامے کی آخری قسط کی ریلیز سے قبل ہی کینیڈا روانہ ہوگئی ہیں جہاں انہوں نے ڈرامے سے متعلق انٹرویو دیا ہے جو سوشل میڈیا پر خواب وائرل ہو رہا ہے۔ A post shared by MediaMasala.Pk (@mediamasala) اس انٹرویو میں ہانیہ مداحوں کے مختلف سوالات کے جواب دے رہی ہیں اور انہیں بتاتی نظر آرہی ہیں کہ آخر شرجینا مصطفیٰ سے کیوں ناراض ہوتی ہے۔ اس ویڈیو کلپ میں ہانیہ کو بےحد پرجوش انداز میں مداحوں اور پروگرام کے میزبان سے بات کرتے دیکھا گیا ہے جس پر سوشل میڈیا صارفین کا کہنا ہے کہ ہانیہ ماہرہ خان بننے کی کوشش کر رہی ہیں اور انہیں کاپی کر رہی ہیں۔ A post shared by MediaMasala.Pk (@mediamasala) اس انٹرویو پر تبصرہ کرتے ہوئے ایک صارف نے لکھا کہ ’یہ 150 فیصد ماہرہ خان کو کاپی کر رہی ہیں‘۔ اس کمنٹ پر جواب دیتے ہوئے ایک صارف نے کہا ’مجھے لگا تھا صرف میں ہی سمجھ رہی ہوں کہ ہانیہ ماہرہ کی کاپی کر رہی ہیں‘۔ چند صارفین نے ہانیہ عامر کو کیوٹ قرار دیتے ہوئے کہا کہ ’یہ ہانیہ کا اپنا اسٹائل ہے لوگ ان سے جل رہے ہیں‘۔ واضح رہے کہ فہد مصطفیٰ اور ہانیہ عامر کے ڈرامے ’کبھی میں کبھی تم‘ نے پاکستان سمیت سرحد پار ممالک میں بھی خوب شہرت حاصل کی ہے بھارت سمیت نیپال اور بنگلادیش میں بھی یہ ڈرامہ بےحد پسند کیا جارہا ہے جبکہ مداح اس ڈرامے کے دوسرے حصے کی بھی ڈیمانڈ کر رہے ہیں۔,entertainment,Express News
7,ابھیشیک بچن کی نئی فلم ’آئی وانٹ ٹو ٹاک‘ کا ٹریلر جاری,https://www.express.pk/story/2731669/abhishek-bachen-ki-nai-film-i-want-to-talk-ka-trailer-jari,بالی ووڈ کے مشہور اداکار ابھیشیک بچن کی آنے والی فلم ’آئی وانٹ ٹو ٹاک‘ کا ٹریلر جاری کر دیا گیا۔ سوشل میڈیا پر شیئر کیے گئے فلم کے ٹریلر میں ابھیشیک بچن کو بطور والد کردار نبھاتے دیکھا جاسکتا ہے جو اپنی بیٹی کے ساتھ ملک سے باہر رہتے ہیں تاہم ان کا بیٹی کے ساتھ تعلق پیچیدہ ہے اور باپ بیٹی میں دوری دکھائی گئی ہے۔ اس سے قبل ابھیشیک بچن نے سوشل میڈیا ’آئی وانٹ ٹو ٹاک‘ کا پوسٹر شیئر کیا تھا پوسٹ کے کیپشن میں اداکار نے لکھا تھا کہ ’بولنے کے لیے تو بہت کچھ ہے لیکن ایک تصویر ہزاروں الفاظ کہتی ہے‘۔ A post shared by Viral Bhayani (@viralbhayani) فلم کے ٹریلر میں دیکھا جاسکتا ہے کہ ابھیشیک مختلف روپ میں دکھائی دے رہیں جس کو دیکھ کر مداح بھی حیران ہیں ابھشیک اس فلم میں موٹے دکھائی دے رہے ہیں جو انتہائی سادہ آدمی کا کردار کر رہے ہیں جو کسی بیماری میں بھی مبتلا ہے۔ سوشل میڈیا صارفین کا کہنا ہے کہ ابھیشیک اس فلم میں اپنی عمر سے زیادہ بڑے نظر آرہے ہیں جبکہ کئی صارفین نے فلم کو ریلیز سے قبل ٹریلر دیکھ کر ہی فلاپ قرار دے دیا ہے۔ A post shared by Abhishek Bachchan (@bachchan) ابھیشیک بچن کا کردار ایک ایسے شخص کا ہے جو 'بات کرنے کے لیے جیتا ہے' زندگی کی مشکلات کو غیر متزلزل اور مثبت نقطہ نظر کے ساتھ قبول کرتا ہے۔ یہ ایک ایسے شخص کی کہانی ہے جو ہمیشہ زندگی کے روشن پہلو کو دیکھتا ہے، چاہے زندگی میں جتنے بھی چیلنجز ہوں۔ واضح رہے کہ ابھیشیک بچن کی یہ فلم 22 نومبررکو سنیما گھروں کی زینت بنے گی۔,entertainment,Express News
8,بھارتی طالب علم کی مختصر فلم نے آسکرز 2025 کوالیفائی کرلیا,https://www.express.pk/story/2731647/bharti-talib-ilm-ki-mukhtasir-film-ne-oscars-2025-qualify-krlia,بھارتی طالب علم کی مختصر فلم (Sunflowers Were the First Ones to Know) آسکرز 2025 کی لائیو ایکشن شارٹ فلم کیٹگری کیلئے منتخب کرلی گئی۔ فلم اینڈ ٹیلی ویژن انسٹیٹیوٹ آف انڈیا کے طالب علم چدانند ایس نائیک کی 16 منٹ پر بنی یہ شارٹ فلم رواں سال کانز فلم فیسٹیول میں بھی پہلا پرائز حاصل کر چکی ہے جبکہ اب اس نے آسکرز 2025 میں بھی انٹری کرلی ہے۔ فلم اسکول نے آفیشل انسٹاگرام اکاؤنٹ پر یہ خوشخبری شیئر کرتے ہوئے طالب علموں کو مبارکباد دی ہے کہ ان کی مختصر فلم نے عالمی سطح پر بھارت کی نمائندگی کا اعزاز حاصل کرلیا ہے۔ A post shared by FTII (@ftiiofficial) اس مختصر فلم کی کہانی ایک پُرجوش اور گہری داستان ہے جو ایک بوڑھی عورت کے گرد گھومتی ہے جو گاؤں کے مرغ چراتی ہے۔ اس فلم کو انسٹیٹیوٹ کے 4 طالب علموں نے فائنل ائیر پراجیکٹ کیلئے بنایا تھا جس کی ہدایتکاری چدانند ایس نائیک نے کی جبکہ دیگر نے کیمرہ، ایڈیٹنگ اور ساؤنڈ پر کام کیا۔ A post shared by FTII (@ftiiofficial) مختصر فلم (Sunflowers Were the First Ones to Know) بنگلور انٹرنیشنل شارٹ فلم فیسٹیول میں کامیاب ہوئی جس کے بعد اسے کانز فلم فیسٹیول لا سنیف اور اب آسکرز میں انٹری ملی ہے۔ A post shared by Chidananda S Naik (@chidananda_s_naik) واضح رہے کہ 97ویں آسکرز ایوارڈز کی تقریب مارچ 2025 کو منعقد کی جائے گی جس میں دنیا بھر کی فلم انڈسٹریز سے شارٹ لسٹ کی گئی فلموں کو ایوارڈز دیئے جائیں گے۔,entertainment,Express News
9,بھارتی اداکارہ کا مدینہ منورہ میں نکاح، تصاویر وائرل,https://www.express.pk/story/2731635/bharti-adakara-ka-madina-munawara-mein-nikkah-tasawir-viral,بھارتی ادکارہ ثنا خان رشتہ ازدواج میں بندھ گئیں، انہوں نے مدینہ میں نکاح کیا ہے جس کی تصاویر سوشل میڈیا پر وائرل ہو رہی ہیں۔ رئیلٹی شو بگ باس او ٹی ٹی 3 کی مشہور کنٹسٹنٹ اداکارہ ثنا خان نے اپنے قریبی دوست واجد خان سے نکاح کیا ہے جبکہ نکاح مدینہ منورہ میں نہایت سادگی سے کیا گیا ہے جس میں چند قریبی رشتہ دار شریک ہوئے اداکارہ کے اس نکاح نے سب کی توجہ سمیٹ لی ہے۔ A post shared by SANA SULTAN超级巨星 🔱👑 (@sanakhan00) ثنا سلطان خان نے اپنے آفیشل انسٹاگرام اکاؤنٹ پر نکاح کی تصاویر اور ویڈیو اپلوڈ کی ہے اور کیپشن میں اپنے جذبات کا اظہار کیا ہے۔ اداکارہ نے لکھا کہ وہ بہت خوش ہیں کہ ان کا نکاح بلکل ویسا ہوا ہے جیسا انکا خواب تھا مدینہ جیسی بابرکت جگہ پر اور ایک ایسے شخص کے ساتھ جو ان کا خاص دوست اور بہترین انسان ہے۔ ثنا نے اپنے شوہر واجد کو اپنے لئے وٹامن ’ڈیبلیو‘ قرار دیا۔ A post shared by SANA SULTAN超级巨星 🔱👑 (@sanakhan00) اداکارہ نے مزید لکھا کہ نکاح محبت کی سب سے خالص شکل ہے وہ بےحد فخر محسوس کررہی ہیں کہ انہوں نے اپنی محبت کو حلال نکاح میں تبدیل کرلیا۔  ثنا نے مزید لکھا کہ دوست سے زندگی کے ساتھی بننے کا ہمارا سفر محبت، صبر اور ایمان کا ثبوت ہے۔ ثنا کے اس خوبصورت دن کی تصاویر اور ویڈیو سوشل میڈیا پر وائرل ہو رہی ہے ان کے مداح اور ساتھی فنکاروں کی جانب سے انہیں مبارکباد اور نیک تمناؤں کا اظہار کیا جارہا ہے۔,entertainment,Express News
