id,title,link,content,gold_label
0,نوجوت سنگھ سدھو نے 5 برس بعد ’کپل شرما شو‘ چھوڑنے کی اصل وجہ بتا دی,https://www.express.pk/story/2733251/navjotsingh-sidhu-revealed-the-real-reason-behind-leaving-thekapilsharmashow-after-5-years,نوجوت سنگھ سدھو کی مشہور بھارتی کامیڈی شو ’دی گریٹ انڈین کپل شو‘ چھوڑنے کی وجہ سامنے آگئی۔ بھارتی میڈیا کے مطابق سدھو جو پہلے کپل شرما کے مشہور کامیڈی شو کا حصہ تھے، پانچ سال کے وقفے کے بعد نیٹ فلکس کے اس شو میں پھر سے نظر آئیں گے۔ ان کے خصوصی ایپی سوڈ کی جھلکیاں سامنے آچکی ہیں، جس پر مداح پروگرام میں انکی واپسی پر خوش دکھائی دیئے، حال ہی میں ایک انٹرویو میں سدھو سے ان کے شو چھوڑنے کی وجہ پوچھی گئی۔ اس سوال پر سدھو نے سفارتی انداز میں جواب دیا، ان کا کہنا تھا کہ ’سیاسی وجوہات تھیں جن پر میں بات نہیں کرنا چاہتا۔ کچھ دیگر وجوہات بھی تھیں۔‘ یاد رہے کہ ان کے شو چھوڑنے کے وقت قیاس آرائیاں تھیں کہ پلوامہ حملے پر ان کے بیانات کے بعد چینل نے انہیں شو سے باہر کر دیا تھا۔ کپل شرما کی تعریف کرتے ہوئے سدھو نے کہا کہ ’دی کپل شرما شو ایک ایسا گلدستہ تھا جو خدا نے بنایا تھا۔ اس کی خوشبو مختلف تھی اور اسے کوئی بدل نہیں سکتا۔ کپل ایک نابغہ ہیں، جنہیں مشکل وقت میں بھی میں نے ہمیشہ سپورٹ کیا‘۔ سدھو نے اپنی خواہش کا اظہار کیا کہ وہ شو کے تمام کرداروں کو ایک مرتبہ پھر ساتھ دیکھنا چاہتے ہیں، انہوں نے کہا ’میری خواہش ہے کہ وہ گلدستہ دوبارہ جُڑ جائے، دادی (علی اصغر) اور گتھی (سنیل گروور) سمیت سبھی واپس آئیں‘۔ واضح رہے کہ کپل شرما شو کا یہ خصوصی ایپی سوڈ جس میں سدھو کی اہلیہ نوجوت کور، سابق کرکٹر ہربھجن سنگھ اور ان کی اہلیہ گیتا بصرہ بھی شامل ہوں گی 16 نومبر کو اسٹریمنگ پلیٹ فارم نیٹ فلکس پر نشر ہوگا جس کی جھلکیاں وائرل ہورہی ہیں۔,Entertainment
1,عدنان صدیقی کی شاہ چارلس سے ملاقات کی تصاویر وائرل,https://www.express.pk/story/2733247/photos-of-adnan-siddiquis-meeting-with-king-charles-went-viral,پاکستان کی شوبز انڈسٹری کے معروف اداکار عدنان صدیقی کو برطانوی شاہ چارلس سوم سے ملاقات کا اعزاز حاصل ہوا جس کی تصاویر انہوں نے سوشل میڈیا پر شیئر کی ہیں۔ بکنگھم پیلس میں ہونے والی اس مختصر مگر یادگار ملاقات کا احوال انہوں نے سوشل میڈیا پر اپنے مداحوں کے ساتھ شیئر کیا اور مداحوں کو کنگ چارلس کے بارے میں اپنے خیالات سے آگاہ کیا۔ انسٹاگرام پر شیئر کی گئی تصاویر میں عدنان صدیقی اور شاہ چارلس سوم کو خوشگوار موڈ میں گفتگو کرتے ہوئے دیکھا جا سکتا ہے۔ عدنان نے کیپشن میں لکھا کہ یہ گفتگو مختصر مگر پرجوش تھی، جیسے پلک جھپکتے ہی دو مختلف دنیا ایک دوسرے سے مل رہی ہوں۔ A post shared by Adnan Siddiqui (@adnansid1) عدنان کا کہنا تھا کہ شاہ چارلس سوم میں لوگوں کو پُرسکون کرنے کی خاص صلاحیت تھی، جو ان کے ذہن پر دیرپا اثر چھوڑ گئی۔ انہوں نے انسٹا اسٹوری میں بکنگھم پیلس کی تقریب کا دعوت نامہ بھی شیئر کیا۔ یہ تقریب 13 نومبر 2024ء کو شاہ اور ملکہ کی جانب سے فلم اور ٹیلی ویژن انڈسٹری میں نمایاں خدمات انجام دینے والی شخصیات کے اعزاز میں منعقد کی گئی تھی، جس میں عدنان صدیقی کو بھی مدعو کیا گیا تھا۔ واضح رہے کہ 55 سالہ عدنان صدیقی پاکستان کے مایہ ناز فنکاروں میں سے ہیں۔ 1994ء میں پی ٹی وی کے ڈرامہ ’عروسہ‘ سے اداکاری کا آغاز کرنے والے عدنان نے لالی ووڈ، بالی ووڈ، اور ہالی ووڈ میں بھی اپنی صلاحیتوں کا لوہا منوایا ہے۔,Entertainment
2,عرفی جاوید کے نئے لباس پر مداح حیران، ویڈیو انٹرنیٹ پر وائرل,https://www.express.pk/story/2733236/fans-are-surprised-by-arfi-javeds-new-outfit-the-video-has-gone-viral-on-the-internet,بھارتی ماڈل و اداکار عرفی جاوید کے نئے انداز نے مداحوں کے دل جیت لیے ہیں اور انکی ویڈیو سوشل میڈیا کی زینت بنی ہوئی ہے۔ بھارتی ماڈل و اداکارہ عرفی جاوید اپنے انوکھے فیشن سینس کی وجہ سے بھارت سمیت پڑوسی ممالک میں بھی مشہور ہیں، انہوں نے روز مرہ استعمال کی چیزوں سے مختلف اور انوکھے لباس تیار کروا کر پہنے جو خوب وائرل ہوئے۔ تاہم اس مرتبہ عرفی نے باربی کا روپ دھار لیا ہے جو مداحوں کی جانب سے بےحد پسند کیا جارہا ہے۔ A post shared by Viral Bhayani (@viralbhayani) وائرل ہونے والی نئی ویڈیو میں دیکھا جا سکتا ہے کہ عرفی نے سنڈریلا کے جیسا گھریلو لباس پہنا ہے جوکہ پہلے ایک غریب لڑکی کے کپڑوں میں تھی اور جیسے ہی عرفی گھومتی ہیں ان کا ڈریس سنڈریلا کے خوبصورت ڈریس میں تبدیل ہوجاتا ہے اور وہ شہزادی سنڈریلا ’باربی‘ بن جاتی ہیں۔ مداحوں کی جانب سے بھارتی ماڈل کے اس ٹرانسفارمیشن کو بےحد پسند کیا جارہا ہے اور سوشل میڈیا پر عرفی کے ناقدین بھی ان کی تعریف کرنے پر مجبور ہوگئے ہیں۔ صارفین کا کہنا ہے کہ آج عرفی نے واقعی حیران کردیا کیونکہ انہیں لگا تھا عرفی ہمیشہ کی طرح کسی انوکھے لباس میں نظر آئیں گی مگر اس مرتبہ انہوں نے سب کے دل جیت لیے۔ عرفی جاوید کے مداحوں کا کہنا ہے کہ وہ اس خوبصورت لباس میں حقیقیت کی باربی لگ رہی ہیں اور انکا فیشن سینس کمال ہے۔,Entertainment
3,مہوش حیات کو شادی کیلئے کیسا لڑکا چاہیے؟ انٹرویو وائرل,https://www.express.pk/story/2733232/what-kind-of-boy-does-mehwish-hayat-want-for-marriage-the-interview-went-viral,پاکستان شوبز کی اداکارہ مہوش حیات کا کہنا ہے کہ وہ اب شادی کے بارے میں سنجیدہ ہوچکی ہیں اور جلد ہی شادی کریں گی۔ حال ہی میں اداکارہ مہوش حیات نے ایک انٹرویو میں ایک مرتبہ پھر شادی اور شوہر سے متعلق گفتگو کی ہے جو سوشل میڈیا پر وائرل ہو رہی ہے۔ اداکارہ مہوش حیات سے سوال پوچھا گیا کہ 6 ماہ پہلے جب آپ سے سوال کیا تو آپ نے شادی کیلئے منع کیا تاہم اب آپ شادی کیلئے کیسے راضی ہوگئیں۔ A post shared by DIVA Magazine Pakistan (@divamagazinepakistan) جس پر اداکارہ نے جواب دیا کہ اب وہ شادی کے بارے میں سوچ رہی ہیں کیونکہ انکی والدہ بھی کہتی ہیں کہ شادی کرنی تو ہے اس لئے اب سوچ رہی ہوں کہ کرلوں۔ رپورٹر نے سوال کیا کہ آپ کا شوہر کیسا ہوگا؟ جس پر مہوش حیات کا کہنا تھا کہ وہ سب سے الگ ہوگا سب سے جدا ہوگا۔ مہوش نے مزید وضاحت دیتے ہوئے کہا کہ شوہر میں بہت سی باتیں دیکھوں گی وہ خود مختار ہے یا نہیں اس کا وریہ کیسا ہے گھر والوں کے ساتھ رویہ کیسا ہے اور وہ غصے میں کیسا ہے۔ یاد رہے کہ اس سے قبل بھی مہوش حیات نے دو مختلف انٹرویوز میں شادی کے حوالے سے گفتگو کرتے ہوئے مداحوں کو بتایا تھا کہ وہ جلد شادی کرلیں گی تاہم اب تک انہیں کوئی ایسا ملا نہیں جیسا وہ چاہتی ہیں۔,Entertainment
4,فیصل قریشی سوشل میڈیا پر تنقید کی زد میں,https://www.express.pk/story/2733220/faisal-qureshi-under-criticism-on-social-media,مشہور پاکستانی اداکار فیصل قریشی اور ان کی اہلیہ ثناء فیصل کو شوبز انڈسٹری میں ایک پسندیدہ جوڑے کے طور پر جانا جاتا ہے۔ دونوں کو ایک دہائی سے زیادہ عرصے سے ایک ساتھ دیکھا جا رہا ہے اور ان کے دو بچے بھی ہیں۔ یہ دونوں اکثر ایک دوسرے کے لیے اپنی محبت کا اظہار کرتے دکھائی دیتے ہیں اور مداحوں کے سامنے اپنی محبت کے رشتے کو خوبصورت انداز میں پیش کرتے ہیں تاہم اس مرتبہ انہیں ایک ویڈیو پر تنقید کا سامنا کرنا پڑ رہا ہے۔ ثناء فیصل نے گزشتہ ماہ اپنی سالگرہ منائی تھی، تاہم ان کے شناختی کارڈ کے مطابق ان کی اصل سالگرہ ایک ماہ بعد ہے۔ ثناء فیصل نے اپنی انسٹاگرام پر ایک ویڈیو پوسٹ کی ہے جس میں وہ اپنی شاختی کارڈ والی سالگرہ کا بتا رہی ہیں اس موقع پر فیصل قریشی نے اپنی اہلیہ کو ان کی شناختی کارڈ والی سالگرہ پر مبارکباد دی اور ان کے گال کا بوسہ لیتے ہوئے انہیں پیار بھرے انداز میں وش کیا۔ A post shared by Sana Faysal (@sanafaysal) تاہم، اس ویڈیو پر سوشل میڈیا صارفین کی جانب سے فیصل کے اس عمل پر مختلف ردعمل دیکھنے کو مل رہا ہے۔ کچھ لوگوں نے اس جوڑے کے محبت بھرے لمحے کو سراہا اور اسے ایک مضبوط ازدواجی رشتے کی مثال قرار دیا، جبکہ دیگر افراد نے پبلک میں پیار کے کا اظہار کرنے پر ناپسندیدگی کا اظہار کیا اور جوڑے پر سخت تنقید کی ہے۔,Entertainment
5,عوامی تھیٹر فیسٹیول: مزاحیہ و اصلاحی ڈرامہ ’گڈی ہٹیلی‘ پیش,https://www.express.pk/story/2733187/arts-council-pakistan-theater,آرٹس کونسل آف پاکستان کراچی کے زیر اہتمام 21روزہ’عوامی تھیٹر فیسٹیول‘ کے چھٹے روز اردو مزاحیہ و اصلاحی ڈرامہ ’گڈی ہٹیلی‘ پیش کیا گیا۔ ڈرامے کے رائٹر و ڈائریکٹر محمد تسنیم رعنا تھے جبکہ عمر دانش، شعیب ہوکلا اور صادق پٹیل نے بھی ڈرامہ کی تشکیل میں اہم کردار ادا کیا۔ کاسٹ میں شانزے، ادریس کمال، سپنا غزل، عامر ریمبو، زینب، فائزہ ملک، انیقہ، شان مہدی، پیارے منصور، طلحہ بجھانی، شمیر راہی، زوہیب (چنٹو) و دیگر شامل تھے۔ ڈرامہ دیکھنے کے لیے عوام کی بڑی تعداد ہال میں موجود تھی۔ ڈرامہ میں دکھایاگیا ہے کہ ایک غریبوں کی بستی ہے جس میں رہنے والے لوگ آپس میں لڑتے رہتے ہیں، بستی میں ایک لڑکی ’گڈی‘ رہتی ہے جس کو لوگ ’گڈی ہٹیلی‘ کہتے ہیں۔ ڈرامے کی کہانی ان والدین کے گرد گھومتی ہے جن کی عدم توجہ کی وجہ سے بچے بے راہ روی کا شکار ہوجاتے ہیں یا نشہ کرنے لگتے ہیں۔ ایسے میں گڈی ہٹیلی جو دوسروں کی پاکٹ مار کر ان بچوں کی پرورش کرنے کا سوچتی ہے۔ ڈرامہ کی کہانی بنیادی طور پر ان والدین کے لیے ایک سبق ہے جو اپنے بچوں کو لاوارث چھوڑ دیتے ہیں جس کی بناءپر بچے بے راہ روی کا شکار ہوکر غلط راستہ اختیار کرلیتے ہیں۔ شائقین نے ڈرامہ کی کہانی کو پسند کرتے ہوئے تالیاں بجاکر فنکاروں کو خوب داد دی۔,Entertainment
6,شاہ رخ خان کی ’محبتیں‘ دیکھنے کے لیے بلیک میں ٹکٹ خریدا، ارجن کپور کا انکشاف,https://www.express.pk/story/2733176/shahrukhkhan-ki-mohabbatain-dekhne-kelye-black-me-ticket-kharida-arjunkapoor,"انہوں نے بتایا کہ کس طرح انہوں نے شاہ رخ خان کی فلم ""محبتیں"" دیکھنے کے لیے بلیک میں ٹکٹ خریدی۔ یہ واقعہ اُس وقت کا ہے جب وہ کلاس آٹھ یا نو میں تھے اور دیوالی کی چھٹیوں کے دوران اپنے دوستوں کے ساتھ فلم دیکھنے گئے۔ ارجن کپور نے کہا، ""مجھے یاد ہے جب محبتیں ریلیز ہوئی تو ہم کو چاندن سینما کے باہر ٹکٹ نہیں مل رہی تھی، تو ہم نے بلیک میں ٹکٹ خرید لی۔ ہم دس لوگ تھے اور یہ بھی دیوالی کی چھٹیوں میں ہوا۔"" انہوں نے بتایا کہ اُن دنوں امتحانات ختم ہونے کے بعد دوستوں کے ساتھ فلم دیکھنے جانا ایک بڑا موقع ہوتا تھا۔ ارجن کا کہنا تھا، ""محبتیں میرے لیے جذباتی اہمیت رکھتی ہے۔ اُس کا میوزک، انٹروڈکشن، سب کچھ مجھے آج بھی یاد ہے۔""",Entertainment
7,ٹام کروز کی فلم ’’مشن: امپاسیبل - دی فائنل ریکننگ‘‘ کا ایکشن سے بھرپور ٹریلر جاری,https://www.express.pk/story/2733171/tomcruise-ki-film-missionimpossilbe-ka-action-se-bharpoor-trailer-jari,"ٹام کروز کی مشہور زمانہ جاسوسی فلم سیریز ’’مشن: امپاسیبل‘‘ اپنے اختتام کو پہنچنے جا رہی ہے اور اس کا آخری حصہ ’’مشن: امپاسیبل - دی فائنل ریکننگ‘‘ کا پہلا ٹریلر ریلیز کر دیا گیا ہے۔ فلم، جو پہلے 2022 میں ریلیز ہونی تھی لیکن وبا اور ہالی وڈ اسٹرائیک کی وجہ سے تاخیر کا شکار ہوئی، اب 23 مئی 2025 کو سینما گھروں میں پیش کی جائے گی۔ اس نئے ٹریلر میں ٹام کروز کے مشہور اسٹنٹس دکھائے گئے ہیں، جن میں ایک زیر آب آبدوز میں ڈائیو اور بائی پلین سے خطرناک چھلانگ بھی شامل ہے۔ فلم میں اینجیلا بیسیٹ دوبارہ سی آئی اے ڈائریکٹر ایریکا سلوئن کے کردار میں نظر آئیں گی، جو فلم کے پیچیدہ پلاٹ میں مزید تجسس بھر دیتی ہے۔ پچھلی فلم ’’مشن: امپاسیبل - ڈیڈ ریکننگ‘‘ میں ایک خطرناک مخالف ""دی اینٹٹی"" کے خلاف ایثن ہنٹ اور ان کی ٹیم کی جنگ کو دکھایا گیا تھا، اور اس کی کہانی کا اختتام ایک زبردست ٹرین حادثے پر ہوا تھا جو اس نئے سیکوئل کے لئے راستہ ہموار کرتا ہے۔",Entertainment
8,سدھانت چترویدی اور ترپتی ڈمری کی نئی فلم ’دھڑک 2‘ کی شوٹنگ شروع,https://www.express.pk/story/2733170/sidhantchutarvedi-or-triptidimri-ki-newfilm-dhadak2-ki-shooting-start,بالی وڈ کے نامور اداکار سدھانت چترویدی اور ترپتی ڈمری نے اپنی نئی فلم دھڑک 2 کی شوٹنگ کا آغاز کردیا ہے۔ حال ہی میں سیٹ سے لی گئی ان دونوں کی ایک تصویر سوشل میڈیا پر وائرل ہو رہی ہے۔ اس فلم کو شازیہ اقبال ڈائریکٹ کر رہی ہیں اور کرن جوہر کی پروڈکشن کمپنی دھرم پروڈکشنز اسے پروڈیوس کر رہی ہے۔ دھڑک 2 دراصل 2018 کی تمل فلم پری یرم پرومل سے ماخوذ ہے، جس میں ذات اور طبقے کی پیچیدگیوں کو اجاگر کیا گیا ہے۔ کرن جوہر نے مئی 2024 میں اس پراجیکٹ کا اعلان کیا اور ایک پاورفل موشن پوسٹر شیئر کیا، جس میں تعلیم، تحریک، تنظیم جیسے نعرے شامل ہیں، جو فلم کے سماجی پیغام کو نمایاں کرتے ہیں۔ یہ فلم پہلے 22 نومبر 2024 کو ریلیز ہونے والی تھی لیکن اب اس کی نئی تاریخ 11 فروری 2025 مقرر کی گئی ہے۔,Entertainment
9,کارتک آریان ’بھول بھلیاں 3‘ کی کامیابی کے بعد ’عاشقی 3‘ کو زندہ کرنے کے خواہشمند,https://www.express.pk/story/2733166/kartikaryan-bb3-ki-success-ke-bad-aashqui3-banane-ke-khawishmand,"ہارر کامیڈی فلم ’بھول بھلیاں 3‘ کی شاندار کامیابی کے بعد کارتک آریان نے عاشقی فرنچائز کو دوبارہ زندہ کرنے کی خواہش ظاہر کی ہے۔ اداکار، جو ابتدائی طور پر انوراگ باسو کی ہدایت کاری میں ’عاشقی 3‘ میں کام کرنے والے تھے، اب اس پروجیکٹ کو اصل فرنچائز کے بینر تلے واپس لانے کے خواہاں ہیں۔ کچھ عرصہ قبل پروڈیوسرز ٹی سیریز اور وشیش فلمز کے درمیان حقوق کے تنازع کی وجہ سے اس کا نام تبدیل کرکے ""تو عاشقی ہے"" رکھ دیا گیا تھا۔ تاہم، بھول بھلیاں کی مسلسل کامیابی نے کارتک کو اس فرنچائز کی طاقت پر دوبارہ غور کرنے پر مجبور کر دیا ہے۔ ایک قریبی ذرائع کے مطابق، کارتک آریان نے بھوشن کمار کو مشورہ دیا ہے کہ وہ موکش بھٹ سے عنوان کے حقوق حاصل کرنے کے لیے بات چیت شروع کریں۔ کارتک کو یقین ہے کہ عاشقی فرنچائز کے بینر تلے یہ محبت کی کہانی مزید مقبولیت حاصل کرے گی۔ عاشقی فرنچائز کا پہلا حصہ 1990 میں ریلیز ہوا تھا جس نے راہل رائے اور انو اگروال کے کیریئر کو شروع کیا۔ 2013 میں عاشقی 2 بھی کامیاب ثابت ہوئی جس میں آدتیہ رائے کپور اور شردھا کپور نے مرکزی کردار ادا کیے۔ تاہم، عاشقی 3 کو عملی شکل دینے میں کچھ چیلنجز کا سامنا ہے، جیسے کہ ٹی سیریز اور وشیش فلمز کے درمیان جاری حقوق کا تنازع ہے۔",Entertainment
